sentences,cleaned_text,sentiment_value,word_count,category,cleaned_text_1,polarity
ascribes the greatness of his achievement to the influence,ascrib great achiev influenc,0,9,Neutral,"['ascrib', 'great', 'achiev', 'influenc']",0.8
of his teachers and mentors he describes the struggles of,teacher mentor describ struggl,-2,10,Negative,"['teacher', 'mentor', 'describ', 'struggl']",0.0
his boyhood and youth bringing alive everyday life in a,boyhood youth bring aliv everyday life,1,10,Positive,"['boyhood', 'youth', 'bring', 'aliv', 'everyday', 'life']",-0.2
small town in south india and the inspirational role of,small town south india inspir role,2,10,Positive,"['small', 'town', 'south', 'india', 'inspir', 'role']",-0.25
educators he describes the role of visionary indian,educ describ role visionari indian,3,8,Positive,"['educ', 'describ', 'role', 'visionari', 'indian']",0.0
scientists such as dr vikram sarabhai and of the creation,scientist dr vikram sarabhai creation,0,10,Neutral,"['scientist', 'vikram', 'sarabhai', 'creation']",0.0
of a coordinated network of research institutions this is,coordin network research institut,0,9,Neutral,"['coordin', 'network', 'research', 'institut']",0.0
also the saga of independent india’s struggle for,also saga independ india struggl,-2,8,Negative,"['saga', 'independ', 'india', 'struggl']",0.0
technological self sufficiency and defensive autonomy – a,technolog self suffici defens autonomi,0,8,Neutral,"['technolog', 'self', 'suffici', 'defen', 'autonomi']",0.0
story as much about politics domestic and international as,stori much polit domest intern,0,9,Neutral,"['stori', 'polit', 'domest', 'intern']",0.2
it is about science,scienc,0,4,Neutral,['scienc'],0.0
arun tiwari worked under dr apj abdul kalam for,arun tiwari work dr apj abdul kalam,0,9,Neutral,"['arun', 'tiwari', 'work', 'apj', 'abdul', 'kalam']",0.0
over a decade in the defence research and development,decad defenc research develop,0,9,Neutral,"['decad', 'defenc', 'research', 'develop']",0.0
laboratory drdl hyderabad he is currently director,laboratori drdl hyderabad current director,0,7,Neutral,"['laboratori', 'drdl', 'hyderabad', 'current', 'director']",0.0
cardiovascular technology institute hyderabad where he,cardiovascular technolog institut hyderabad,0,6,Neutral,"['cardiovascular', 'technolog', 'institut', 'hyderabad']",0.0
is pursuing dr kalam’s vision of developing costeffective,pursu dr kalam vision develop costeffect,1,8,Positive,"['pursu', 'kalam', 'vision', 'develop', 'costeffect']",0.0
medical devices using indigenous defence technology,medic devic use indigen defenc technolog,0,6,Neutral,"['medic', 'devic', 'use', 'indigen', 'defenc', 'technolog']",0.0
dr kalam is now india’s president he was elected to,dr kalam india presid elect,0,10,Neutral,"['kalam', 'india', 'presid', 'elect']",0.8
india’s office by a huge majority in 2002,india offic huge major,1,8,Positive,"['india', 'offic', 'huge', 'major']",0.23125000000000004
to the memory of my parents,memori parent,0,6,Neutral,"['memori', 'parent']",0.0
my mother,mother,0,2,Neutral,['mother'],0.0
sea waves golden sand pilgrims’ faith,sea wave golden sand pilgrim faith,1,6,Positive,"['sea', 'wave', 'golden', 'sand', 'pilgrim', 'faith']",0.3
rameswaram mosque street all merge into one,rameswaram mosqu street merg one,0,7,Neutral,"['rameswaram', 'mosqu', 'street', 'merg']",0.0
my mother,mother,0,2,Neutral,['mother'],0.0
you come to me like heaven’s caring arms,come like heaven care arm,4,8,Positive,"['come', 'like', 'heaven', 'care', 'arm']",0.0
i remember the war days when life was challenge and toil—,rememb war day life challeng toil,-3,11,Negative,"['rememb', 'war', 'day', 'life', 'challeng', 'toil']",0.0
miles to walk hours before sunrise,mile walk hour sunris,0,6,Neutral,"['mile', 'walk', 'hour', 'sunris']",0.0
walking to take lessons from the saintly teacher near the,walk take lesson saintli teacher near,0,10,Neutral,"['walk', 'lesson', 'saintli', 'teacher', 'near']",0.1
temple again miles to the arab teaching school,templ mile arab teach school,0,8,Neutral,"['templ', 'mile', 'arab', 'teach', 'school']",0.0
climb sandy hills to railway station road,climb sandi hill railway station road,0,7,Neutral,"['climb', 'sandi', 'hill', 'railway', 'station', 'road']",0.0
collect distribute newspapers to temple city citizens,collect distribut newspap templ citi citizen,0,7,Neutral,"['collect', 'distribut', 'newspap', 'templ', 'citi', 'citizen']",0.0
few hours after sunrise going to school,hour sunris go school,0,7,Neutral,"['hour', 'sunris', 'school']",0.0
evening business time before study at night,even busi time studi night,0,7,Neutral,"['busi', 'time', 'studi', 'night']",0.0
all this pain of a young boy,pain young boy,-2,7,Negative,"['pain', 'young', 'boy']",0.1
my mother you transformed into pious strength,mother transform piou strength,2,7,Positive,"['mother', 'transform', 'piou', 'strength']",0.0
with kneeling and bowing five times,kneel bow five time,0,6,Neutral,"['kneel', 'bow', 'time']",0.0
for the grace of the almighty only my mother,grace almighti mother,1,9,Positive,"['grace', 'almighti', 'mother']",0.0
your strong piety is your children’s strength,strong pieti children strength,4,7,Positive,"['strong', 'pieti', 'child', 'strength']",0.4333333333333333
you always shared your best with whoever needed the,alway share best whoever need,4,9,Positive,"['alway', 'share', 'well', 'need']",1.0
most you always gave and gave with faith in him,alway gave gave faith,1,10,Positive,"['alway', 'gave', 'give', 'faith']",0.0
i still remember the day when i was ten,still rememb day ten,0,9,Neutral,"['rememb', 'day']",0.0
sleeping on your lap to the envy of my elder brothers and,sleep lap envi elder brother,-1,12,Negative,"['sleep', 'lap', 'envi', 'eld', 'brother']",0.0
sisters it was full moon night my world only you knew,sister full moon night world knew,0,11,Neutral,"['sister', 'moon', 'night', 'world', 'know']",0.35
mother my mother,mother mother,0,3,Neutral,"['mother', 'mother']",0.0
when at midnight i woke with tears falling on my knee you,midnight woke tear fall knee,0,12,Neutral,"['midnight', 'wake', 'tear', 'fall', 'knee']",0.0
knew the pain of your child my mother,knew pain child mother,-2,8,Negative,"['know', 'pain', 'child', 'mother']",0.0
your caring hands tenderly removing the pain,care hand tenderli remov pain,-2,7,Negative,"['care', 'hand', 'tenderli', 'remov', 'pain']",0.0
your love your care your faith gave me strength,love care faith gave strength,8,9,Positive,"['love', 'care', 'faith', 'give', 'strength']",0.5
to face the world without fear and with his strength,face world without fear strength,0,10,Neutral,"['face', 'world', 'fear', 'strength']",0.0
we will meet again on the great judgement day my,meet great judgement day,3,10,Positive,"['meet', 'great', 'judgement', 'day']",0.8
mother,mother,0,1,Neutral,['mother'],0.0
apj abdul kalam,apj abdul kalam,0,3,Neutral,"['apj', 'abdul', 'kalam']",0.0
contents,content,0,1,Neutral,['content'],0.0
preface,prefac,0,1,Neutral,['prefac'],0.0
acknowledgements introduction,acknowledg introduct,0,2,Neutral,"['acknowledg', 'introduct']",0.0
orientation,orient,0,1,Neutral,['orient'],0.0
creation,creation,0,1,Neutral,['creation'],0.0
propitiation contemplation epilogue,propiti contempl epilogu,0,3,Neutral,"['propiti', 'contempl', 'epilogu']",0.0
preface,prefac,0,1,Neutral,['prefac'],0.0
i,,0,1,Neutral,[],0.0
have worked under dr apj abdul kalam for over a,work dr apj abdul kalam,0,10,Neutral,"['work', 'apj', 'abdul', 'kalam']",0.0
decade this might seem to disqualify me as his,decad might seem disqualifi,0,9,Neutral,"['decad', 'disqualifi']",0.0
biographer and i certainly had no notion of being one one,biograph certainli notion one one,-1,11,Negative,"['biograph', 'certainli', 'notion']",0.0
day while speaking to him i,day speak,0,6,Neutral,"['day', 'speak']",0.0
asked him if he had a message for young indians his,ask messag young indian,0,11,Neutral,"['ask', 'messag', 'young', 'indian']",0.1
message fascinated me later i mustered the courage to,messag fascin later muster courag,5,9,Positive,"['messag', 'fascin', 'later', 'muster', 'courag']",0.0
ask him about his recollections so that i could pen them,ask recollect could pen,0,11,Neutral,"['ask', 'recollect', 'pen']",0.0
down before they were buried irretrievably under the sands,buri irretriev sand,0,9,Neutral,"['buri', 'irretriev', 'sand']",0.0
of time,time,0,2,Neutral,['time'],0.0
we had a long series of sittings late into the night and,long seri sit late night,0,12,Neutral,"['long', 'seri', 'sit', 'late', 'night']",-0.175
early under the fading stars of dawn—all somehow stolen,earli fade star dawn somehow stolen,-2,9,Negative,"['earli', 'fade', 'star', 'dawn', 'steal']",0.0
from his very busy schedule of eighteen hours a day the,busi schedul eighteen hour day,0,11,Neutral,"['busi', 'schedul', 'eighteen', 'hour', 'day']",0.0
profundity and range of his ideas mesmerized me he had,profund rang idea mesmer,0,10,Neutral,"['profund', 'rang', 'idea', 'mesmer']",0.0
tremendous vitality and obviously received immense,tremend vital obvious receiv immens,3,6,Positive,"['tremend', 'vital', 'obvious', 'receiv', 'immen']",0.05
pleasure from the world of ideas his conversation was not,pleasur world idea convers,3,10,Positive,"['pleasur', 'world', 'idea', 'conver']",0.0
always easy to follow but was always fresh and stimulating,alway easi follow alway fresh stimul,4,10,Positive,"['alway', 'easi', 'follow', 'alway', 'fresh', 'stimul']",0.3
there were complexities subtleties and intriguing,complex subtleti intrigu,0,6,Neutral,"['complex', 'subtleti', 'intrigu']",-0.3
metaphors and subplots in his narrative but gradually the,metaphor subplot narr gradual,0,9,Neutral,"['metaphor', 'subplot', 'narr', 'gradual']",0.0
unfolding of his brilliant mind took the form of a continuous,unfold brilliant mind took form continu,4,11,Positive,"['unfold', 'brilliant', 'mind', 'take', 'form', 'continu']",0.9
discourse,discours,0,1,Neutral,['discour'],0.0
when i sat down to write this book i felt that it required,sat write book felt requir,0,13,Neutral,"['sit', 'write', 'book', 'feel', 'requir']",0.0
greater skills than i possessed but realising the,greater skill possess realis,3,8,Positive,"['great', 'skill', 'possess', 'reali']",0.5
importance of this task and regarding it an honour to have,import task regard honour,4,11,Positive,"['import', 'task', 'regard', 'honour']",0.0
been permitted to attempt it i prayed earnestly for the,permit attempt pray earnestli,1,10,Positive,"['permit', 'attempt', 'pray', 'earnestli']",0.0
courage and calibre to complete it,courag calibr complet,2,6,Positive,"['courag', 'calibr', 'complet']",0.0
this book is written for the ordinary people of india for,book written ordinari peopl india,0,11,Neutral,"['book', 'write', 'ordinari', 'peopl', 'india']",0.0
whom dr kalam has an immense affection and of whom,dr kalam immens affect,3,10,Positive,"['kalam', 'immens', 'affect']",0.0
dr kalam is certainly one he has an intuitive rapport with,dr kalam certainli one intuit rapport,0,11,Neutral,"['kalam', 'certainli', 'intuit', 'rapport']",0.0
the humblest and simplest people an indication of his own,humblest simplest peopl indic,0,10,Neutral,"['humblest', 'simple', 'peopl', 'indic']",0.0
simplicity and innate spirituality,simplic innat spiritu,0,4,Neutral,"['simplic', 'innat', 'spiritu']",0.0
for myself writing this book has been like a pilgrimage,write book like pilgrimag,2,10,Positive,"['write', 'book', 'like', 'pilgrimag']",0.0
through dr kalam i was blessed with the revelation that,dr kalam bless revel,2,10,Positive,"['kalam', 'bless', 'revel']",0.0
the real joy of living can be found in only one way—in one’s,real joy live found one way one,3,13,Positive,"['real', 'joy', 'live', 'find', 'way']",0.5681818181818181
communion with an eternal source of hidden knowledge,communion etern sourc hidden knowledg,-1,8,Negative,"['communion', 'etern', 'sourc', 'hide', 'knowledg']",-0.16666666666666666
within oneself—which each individual is bidden to seek and,within oneself individu bidden seek,0,9,Neutral,"['oneself', 'individu', 'bid', 'seek']",0.0
find for himself or herself many of you may never meet dr,find mani may never meet dr,0,12,Neutral,"['find', 'mani', 'meet']",0.0
kalam in person but i hope you will enjoy his company,kalam person hope enjoy compani,4,11,Positive,"['kalam', 'person', 'hope', 'enjoy', 'compani']",0.4
through this book and that he will become your spiritual,book becom spiritu,0,10,Neutral,"['book', 'becom', 'spiritu']",0.0
friend,friend,0,1,Neutral,['friend'],0.0
i could include in this book only a few incidents among,could includ book incid among,0,11,Neutral,"['includ', 'book', 'incid']",0.0
the many narrated to me by dr kalam in fact this book,mani narrat dr kalam fact book,0,12,Neutral,"['mani', 'narrat', 'kalam', 'fact', 'book']",0.0
provides only a thumbnail sketch of dr kalam’s life it is,provid thumbnail sketch dr kalam life,0,11,Neutral,"['provid', 'thumbnail', 'sketch', 'kalam', 'life']",0.0
quite possible that certain important incidents have been,quit possibl certain import incid,3,8,Positive,"['quit', 'possibl', 'certain', 'import', 'incid']",0.21428571428571427
inadvertently dropped and that the contribution of some,inadvert drop contribut,-1,8,Negative,"['inadvert', 'drop', 'contribut']",0.0
individuals to the projects coordinated by dr kalam has,individu project coordin dr kalam,0,9,Neutral,"['individu', 'project', 'coordin', 'kalam']",0.0
gone unrecorded since a quartercentury of professional,gone unrecord sinc quartercenturi profession,0,7,Neutral,"['go', 'unrecord', 'sinc', 'quartercenturi', 'profession']",0.0
life separates me from dr kalam some important issues,life separ dr kalam import issu,2,9,Positive,"['life', 'separ', 'kalam', 'import', 'issu']",0.0
might also have remained unrecorded or have been,might also remain unrecord,0,8,Neutral,"['remain', 'unrecord']",0.0
distorted i am solely responsible for such shortcomings,distort sole respons shortcom,0,8,Neutral,"['distort', 'sole', 'respon', 'shortcom']",0.0
which are of course completely unintentional,cours complet unintent,0,6,Neutral,"['cours', 'complet', 'unintent']",0.0
arun tiwari,arun tiwari,0,2,Neutral,"['arun', 'tiwari']",0.0
acknowledgements introduction,acknowledg introduct,0,2,Neutral,"['acknowledg', 'introduct']",0.0
i,,0,1,Neutral,[],0.0
wish to express my gratitude to all the people involved,wish express gratitud peopl involv,1,10,Positive,"['wish', 'express', 'gratitud', 'peopl', 'involv']",0.0
in the writing of this book especially mr ys rajan mr a,write book especi mr ys rajan mr,0,12,Neutral,"['write', 'book', 'especi', 'rajan']",0.0
sivathanu pillai mr rn agarwal mr prahlada mr kvss,sivathanu pillai mr rn agarw mr prahlada mr kvss,0,9,Neutral,"['sivathanu', 'pillai', 'agarw', 'prahlada', 'kvss']",0.0
prasada rao,prasada rao,0,2,Neutral,"['prasada', 'rao']",0.0
and dr sk salwan who were very generous in sharing their,dr sk salwan gener share,3,11,Positive,"['salwan', 'gener', 'share']",0.0
time and knowledge with me,time knowledg,0,5,Neutral,"['time', 'knowledg']",0.0
i am thankful to prof kav pandalai and mr r,thank prof kav pandalai mr r,2,10,Positive,"['thank', 'prof', 'kav', 'pandalai']",0.0
swaminathan for critical reviews of the text i thank dr b,swaminathan critic review text thank dr b,2,11,Positive,"['swaminathan', 'critic', 'review', 'text', 'thank']",0.0
soma raju for his tangible but always unspoken support,soma raju tangibl alway unspoken support,2,9,Positive,"['soma', 'raju', 'tangibl', 'alway', 'unspoken', 'support']",0.0
for this project my sincere thanks go to my wife and,project sincer thank go wife,4,11,Positive,"['project', 'sincer', 'thank', 'wife']",0.0
unsparing critic dr anjana tiwari for her tough comments,unspar critic dr anjana tiwari tough comment,-2,9,Negative,"['unspar', 'critic', 'anjana', 'tiwari', 'tough', 'comment']",-0.3888888888888889
accompanied with her gentle support,accompani gentl support,2,5,Positive,"['accompani', 'gentl', 'support']",0.0
it has been a pleasure to work with universities press and,pleasur work univers press,3,11,Positive,"['pleasur', 'work', 'univers', 'press']",0.0
the cooperation of the editorial and production staff is much,cooper editori product staff much,0,10,Neutral,"['cooper', 'editori', 'product', 'staff']",0.2
appreciated,appreci,2,1,Positive,['appreci'],0.0
there are many fine people such as the photographer,mani fine peopl photograph,2,9,Positive,"['mani', 'fine', 'peopl', 'photograph']",0.4166666666666667
mr prabhu who have selflessly enriched me and this book,mr prabhu selflessli enrich book,0,10,Neutral,"['prabhu', 'selflessli', 'enrich', 'book']",0.0
in ways beyond measure i thank them all,way beyond measur thank,2,8,Positive,"['way', 'measur', 'thank']",0.0
and finally my deepest gratitude to my sons aseem,final deepest gratitud son aseem,0,9,Neutral,"['final', 'deep', 'gratitud', 'son', 'aseem']",0.0
and amol— for their unfailing emotional support during the,amol unfail emot support,2,9,Positive,"['amol', 'unfail', 'emot', 'support']",0.0
writing and because i seek in them that attitude towards,write seek attitud toward,0,10,Neutral,"['write', 'seek', 'attitud']",0.0
life which dr kalam admired and wanted this work to,life dr kalam admir want work,4,10,Positive,"['life', 'kalam', 'admir', 'want', 'work']",0.0
reflect,reflect,0,1,Neutral,['reflect'],0.0
arun tiwari,arun tiwari,0,2,Neutral,"['arun', 'tiwari']",0.0
this book is being released at a time when india’s,book releas time india,0,10,Neutral,"['book', 'releas', 'time', 'india']",0.0
technological endeavours to assert its sovereignty and,technolog endeavour assert sovereignti,0,7,Neutral,"['technolog', 'endeavour', 'assert', 'sovereignti']",0.0
strengthen its security are questioned by many in the world,strengthen secur question mani world,2,10,Positive,"['strengthen', 'secur', 'question', 'mani', 'world']",0.0
historically people have always fought among themselves,histor peopl alway fought among,-1,7,Negative,"['histor', 'peopl', 'alway', 'fight']",0.0
on one issue or another prehistorically battles were fought,one issu anoth prehistor battl fought,-2,9,Negative,"['issu', 'anoth', 'prehistor', 'battl', 'fight']",0.0
over food and shelter with the passage of time wars were,food shelter passag time war,-2,11,Negative,"['food', 'shelter', 'passag', 'time', 'war']",0.0
waged over religious and ideological beliefs and now the,wage religi ideolog belief,0,9,Neutral,"['wage', 'religi', 'ideolog', 'belief']",0.0
dominant struggle of sophisticated warfare is for economic,domin struggl sophist warfar econom,-2,8,Negative,"['domin', 'struggl', 'sophist', 'warfar', 'econom']",0.0
and technological supremacy consequently economic,technolog supremaci consequ econom,0,5,Neutral,"['technolog', 'supremaci', 'consequ', 'econom']",0.0
and technological supremacy is equated with political,technolog supremaci equat polit,0,7,Neutral,"['technolog', 'supremaci', 'equat', 'polit']",0.0
power and world control,power world control,0,4,Neutral,"['power', 'world', 'control']",0.0
afew nations who have grown very strong,afew nation grown strong,2,7,Positive,"['afew', 'nation', 'grow', 'strong']",0.4333333333333333
technologically over the past few centuries have wrested,technolog past centuri wrest,0,8,Neutral,"['technolog', 'past', 'centuri', 'wrest']",-0.25
control for their own purposes these major powers have,control purpos major power,0,9,Neutral,"['control', 'purpos', 'major', 'power']",0.0625
become the selfproclaimed leaders of the new world,becom selfproclaim leader new world,0,8,Neutral,"['becom', 'selfproclaim', 'leader', 'new', 'world']",0.13636363636363635
order what does a country of one billion people like india,order countri one billion peopl like india,2,11,Positive,"['order', 'countri', 'billion', 'peopl', 'like', 'india']",0.0
do in such a situation we have no other option but to be,situat option,-1,13,Negative,"['situat', 'option']",0.0
technologically strong but can india be a leader in the field,technolog strong india leader field,2,11,Positive,"['technolog', 'strong', 'india', 'leader', 'field']",0.4333333333333333
of technology my answer is an emphatic ‘yes’ and let me,technolog answer emphat ye let,1,11,Positive,"['technolog', 'answer', 'emphat', 'let']",0.0
validate my answer by narrating some incidents from my,valid answer narrat incid,1,9,Positive,"['valid', 'answer', 'narrat', 'incid']",0.0
life,life,0,1,Neutral,['life'],0.0
when i first began the reminiscences that have gone,first began reminisc gone,0,9,Neutral,"['begin', 'reminisc', 'go']",0.25
into this book i was uncertain about which of my memories,book uncertain memori,-1,11,Negative,"['book', 'uncertain', 'memori']",0.0
were worth narrating or were of any relevance at all my,worth narrat relev,2,11,Positive,"['worth', 'narrat', 'relev']",0.3
childhood is precious to me but would it be of interest to,childhood preciou would interest,1,12,Positive,"['childhood', 'preciou', 'interest']",0.0
anyone else was it worth the reader’s while i wondered,anyon els worth reader wonder,2,10,Positive,"['anyon', 'el', 'worth', 'reader', 'wonder']",0.3
to know about the tribulations and triumphs of a smalltown,know tribul triumph smalltown,4,10,Positive,"['know', 'tribul', 'triumph', 'smalltown']",0.0
boy of the straitened circumstances of my schooldays the,boy straiten circumst schoolday,0,9,Neutral,"['boy', 'straiten', 'circumst', 'schoolday']",0.0
odd jobs i did to pay my school fees and how my decision,odd job pay school fee decis,-3,13,Negative,"['odd', 'job', 'pay', 'school', 'fee', 'decis']",-0.16666666666666666
to become a vegetarian was partly due to my financial,becom vegetarian partli due financi,0,10,Neutral,"['becom', 'vegetarian', 'partli', 'financi']",-0.125
constraints as a college student—why should these be of,constraint colleg student,0,9,Neutral,"['constraint', 'colleg', 'student']",0.0
any interest to the general public in the end i was,interest gener public end,1,11,Positive,"['interest', 'gener', 'public', 'end']",0.0
convinced that these were relevant if not for anything else,convinc relev anyth els,1,10,Positive,"['convinc', 'relev', 'anyth', 'el']",0.0
but because they tell something of the story of modern,tell someth stori modern,0,10,Neutral,"['tell', 'someth', 'stori', 'modern']",0.2
india as individual destiny and the social matrix in which it,india individu destini social matrix,0,11,Neutral,"['india', 'individu', 'destini', 'social', 'matrix']",0.03333333333333333
is embedded cannot be seen in isolation having been,embed cannot seen isol,0,9,Neutral,"['embed', 'see', 'isol']",0.0
persuaded of this it did seem germane to include the,persuad seem german includ,0,10,Neutral,"['persuad', 'german', 'includ']",0.0
accounts of my frustrated attempt to become an air force,account frustrat attempt becom air forc,-2,10,Negative,"['account', 'frustrat', 'attempt', 'becom', 'air', 'forc']",0.0
pilot and of how i became instead of the collector my,pilot becam instead collector,0,11,Neutral,"['pilot', 'becam', 'instead', 'collector']",0.0
father dreamed i would be a rocket engineer,father dream would rocket engin,1,8,Positive,"['father', 'dream', 'rocket', 'engin']",0.0
finally i decided to describe the individuals who had a,final decid describ individu,0,10,Neutral,"['final', 'decid', 'describ', 'individu']",0.0
profound influence on my life this book is also by way of a,profound influenc life book also way,0,13,Neutral,"['profound', 'influenc', 'life', 'book', 'way']",0.08333333333333333
submission of thanks therefore to my parents and,submiss thank therefor parent,2,8,Positive,"['submiss', 'thank', 'therefor', 'parent']",0.0
immediate family and to the teachers and preceptors i was,immedi famili teacher preceptor,0,10,Neutral,"['immedi', 'famili', 'teacher', 'preceptor']",0.0
fortunate to have had both as a student and in my,fortun student,2,11,Positive,"['fortun', 'student']",0.0
professional life it is also a tribute to the unflagging,profession life also tribut unflag,0,10,Neutral,"['profession', 'life', 'tribut', 'unflag']",0.0
enthusiasm and efforts of my young colleagues who helped,enthusiasm effort young colleagu help,2,9,Positive,"['enthusiasm', 'effort', 'young', 'colleagu', 'help']",0.1
to realise our collective dreams the famous words of isaac,realis collect dream famou word isaac,1,10,Positive,"['realis', 'collect', 'dream', 'famou', 'word', 'isaac']",0.0
newton about standing on the shoulders of giants are valid,newton stand shoulder giant valid,0,10,Neutral,"['newton', 'stand', 'shoulder', 'giant', 'valid']",0.0
for every scientist and i certainly owe a great debt of,everi scientist certainli owe great debt,1,11,Positive,"['everi', 'scientist', 'certainli', 'owe', 'great', 'debt']",0.8
knowledge and inspiration to the distinguished lineage of,knowledg inspir distinguish lineag,2,8,Positive,"['knowledg', 'inspir', 'distinguish', 'lineag']",0.0
indian scientists that included vikram sarabhai satish,indian scientist includ vikram sarabhai satish,0,7,Neutral,"['indian', 'scientist', 'includ', 'vikram', 'sarabhai', 'satish']",0.0
dhawan and brahm prakash they played major roles in,dhawan brahm prakash play major role,0,9,Neutral,"['dhawan', 'brahm', 'prakash', 'play', 'major', 'role']",0.0625
my life and in the story of indian science,life stori indian scienc,0,9,Neutral,"['life', 'stori', 'indian', 'scienc']",0.0
i completed sixty years of age on 15 october 1991 i had,complet sixti year age octob,0,12,Neutral,"['complet', 'sixti', 'year', 'age', 'octob']",0.0
decided to devote my retirement to fulfilling what i saw as,decid devot retir fulfil saw,0,11,Neutral,"['decid', 'devot', 'retir', 'fulfil', 'saw']",0.0
my duties in the,duti,0,4,Neutral,['duti'],0.0
sphere of social service instead two things happened,sphere social servic instead two thing happen,0,8,Neutral,"['sphere', 'social', 'servic', 'instead', 'thing', 'happen']",0.03333333333333333
simultaneously first i agreed to continue in government,simultan first agre continu govern,1,8,Positive,"['simultan', 'agre', 'continu', 'govern']",0.25
service for another three years and next a young,servic anoth three year next young,0,9,Neutral,"['servic', 'anoth', 'year', 'young']",0.05
colleague arun tiwari requested me to share my,colleagu arun tiwari request share,1,8,Positive,"['colleagu', 'arun', 'tiwari', 'request', 'share']",0.0
reminiscences with him so that he could record them he,reminisc could record,0,10,Neutral,"['reminisc', 'record']",0.0
was someone who had been working in my laboratory,someon work laboratori,0,9,Neutral,"['someon', 'work', 'laboratori']",0.0
since 1982 but i had never really known him well until the,sinc never realli known well,0,12,Neutral,"['sinc', 'realli', 'know']",0.0
february of 1987 when i visited him at the intensive,februari visit intens,0,10,Neutral,"['februari', 'visit', 'inten']",0.0
coronary care unit of the nizam’s institute of medical,coronari care unit nizam institut medic,2,9,Positive,"['coronari', 'care', 'unit', 'nizam', 'institut', 'medic']",0.0
sciences in hyderabad he was a mere 32 years old but,scienc hyderabad mere year old,0,11,Neutral,"['scienc', 'hyderabad', 'mere', 'year', 'old']",-0.2
was fighting valiantly for his life i asked him if there was,fight valiantli life ask,-1,12,Negative,"['fight', 'valiantli', 'life', 'ask']",0.0
anything he wanted me to do for him “give me your,anyth want give,1,11,Positive,"['anyth', 'want']",0.0
blessings sir” he said “so that i may have a longer life and,bless sir said may longer life,3,13,Positive,"['bless', 'sir', 'say', 'long', 'life']",0.0
can complete at least one of your projects”,complet least one project,0,8,Neutral,"['complet', 'project']",-0.3
the young man’s dedication moved me and i prayed for,young man dedic move pray,1,10,Positive,"['young', 'man', 'dedic', 'pray']",0.1
his recovery all night the lord answered my prayers and,recoveri night lord answer prayer,0,10,Neutral,"['recoveri', 'night', 'lord', 'answer', 'prayer']",0.0
tiwari was able to get back to work in a month he did an,tiwari abl get back work month,0,14,Neutral,"['tiwari', 'abl', 'work', 'month']",0.0
excellent job in helping to realise the akash missile,excel job help realis akash missil,5,9,Positive,"['excel', 'job', 'help', 'realis', 'akash', 'missil']",0.0
